Algorithm,Time Taken,Best Tour,Best Cost,Num Nodes,Edge Percentage,Num Edges,Adjacency List
tsp_brute_force,0.00049591064453125,"[0, 1, 2, 4, 3, 0]",126,5,16.0,20,"[(0, 1, 9), (0, 2, 72), (0, 3, 3), (0, 4, 85), (1, 0, 43), (1, 2, 57), (1, 3, 60), (1, 4, 63), (2, 0, 72), (2, 1, 57), (2, 3, 47), (2, 4, 26), (3, 0, 3), (3, 1, 60), (3, 2, 47), (3, 4, 31), (4, 0, 85), (4, 1, 55), (4, 2, 26), (4, 3, 31)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 4, 47), (0, 1, 5), (1, 0, 5), (1, 3, 64), (2, 4, 19), (3, 1, 64), (4, 0, 44), (4, 2, 19)]"
tsp_brute_force,0.0,"[0, 1, 2, 4, 3, 0]",253,5,12.8,16,"[(0, 2, 80), (0, 3, 23), (0, 1, 83), (1, 2, 60), (1, 0, 83), (1, 3, 42), (2, 1, 60), (2, 3, 44), (2, 0, 80), (2, 4, 37), (3, 4, 50), (3, 2, 44), (3, 0, 23), (3, 1, 42), (4, 3, 50), (4, 2, 37)]"
tsp_brute_force,0.0004963874816894531,"[0, 3, 2, 1, 4, 0]",228,5,16.0,20,"[(0, 1, 66), (0, 2, 36), (0, 3, 67), (0, 4, 13), (1, 0, 66), (1, 2, 56), (1, 3, 100), (1, 4, 39), (2, 0, 36), (2, 1, 56), (2, 3, 53), (2, 4, 94), (3, 0, 67), (3, 1, 100), (3, 2, 53), (3, 4, 52), (4, 0, 13), (4, 1, 39), (4, 2, 77), (4, 3, 52)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 4, 85), (0, 2, 74), (1, 3, 85), (2, 0, 74), (3, 4, 81), (3, 1, 85), (4, 0, 85), (4, 3, 57)]"
tsp_brute_force,0.0,"[0, 3, 1, 2, 4, 0]",282,5,12.8,16,"[(0, 1, 76), (0, 3, 13), (0, 4, 78), (0, 2, 25), (1, 0, 76), (1, 3, 87), (1, 2, 67), (2, 3, 9), (2, 1, 67), (2, 4, 37), (2, 0, 25), (3, 2, 9), (3, 0, 13), (3, 1, 87), (4, 0, 78), (4, 2, 37)]"
tsp_brute_force,0.0004971027374267578,"[0, 1, 4, 2, 3, 0]",157,5,16.0,20,"[(0, 1, 24), (0, 2, 64), (0, 3, 16), (0, 4, 13), (1, 0, 24), (1, 2, 78), (1, 3, 100), (1, 4, 12), (2, 0, 64), (2, 1, 78), (2, 3, 58), (2, 4, 47), (3, 0, 16), (3, 1, 100), (3, 2, 58), (3, 4, 51), (4, 0, 13), (4, 1, 12), (4, 2, 47), (4, 3, 51)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 1, 98), (1, 0, 98), (1, 3, 9), (1, 2, 83), (2, 1, 83), (2, 4, 81), (3, 1, 99), (4, 2, 44)]"
tsp_brute_force,0.0,"[0, 1, 3, 4, 2, 0]",249,5,11.2,14,"[(0, 2, 30), (0, 4, 60), (0, 1, 90), (1, 3, 69), (1, 0, 90), (2, 3, 4), (2, 4, 31), (2, 0, 30), (3, 1, 69), (3, 2, 4), (3, 4, 29), (4, 2, 31), (4, 0, 83), (4, 3, 29)]"
tsp_brute_force,0.0004961490631103516,"[0, 1, 4, 2, 3, 0]",249,5,16.0,20,"[(0, 1, 75), (0, 2, 91), (0, 3, 84), (0, 4, 97), (1, 0, 50), (1, 2, 52), (1, 3, 83), (1, 4, 9), (2, 0, 91), (2, 1, 52), (2, 3, 77), (2, 4, 63), (3, 0, 21), (3, 1, 83), (3, 2, 77), (3, 4, 85), (4, 0, 97), (4, 1, 9), (4, 2, 67), (4, 3, 85)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 3, 34), (0, 4, 94), (1, 2, 15), (2, 1, 15), (2, 3, 70), (3, 2, 70), (3, 0, 34), (4, 0, 94)]"
tsp_brute_force,0.0,"[0, 4, 3, 1, 2, 0]",183,5,12.8,16,"[(0, 4, 5), (0, 3, 65), (0, 1, 59), (0, 2, 31), (1, 2, 12), (1, 0, 59), (1, 4, 6), (1, 3, 64), (2, 1, 95), (2, 0, 31), (3, 0, 65), (3, 4, 71), (3, 1, 64), (4, 0, 35), (4, 3, 71), (4, 1, 6)]"
tsp_brute_force,0.00049591064453125,"[0, 3, 2, 1, 4, 0]",162,5,16.0,20,"[(0, 1, 73), (0, 2, 3), (0, 3, 13), (0, 4, 32), (1, 0, 94), (1, 2, 24), (1, 3, 59), (1, 4, 45), (2, 0, 89), (2, 1, 24), (2, 3, 48), (2, 4, 81), (3, 0, 13), (3, 1, 59), (3, 2, 48), (3, 4, 83), (4, 0, 32), (4, 1, 45), (4, 2, 81), (4, 3, 83)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 4, 17), (0, 2, 3), (1, 3, 59), (2, 0, 44), (3, 4, 50), (3, 1, 59), (4, 0, 17), (4, 3, 50)]"
tsp_brute_force,0.0,"[0, 4, 2, 3, 1, 0]",109,5,12.8,16,"[(0, 4, 34), (0, 2, 7), (0, 1, 39), (1, 2, 71), (1, 4, 95), (1, 3, 8), (1, 0, 31), (2, 3, 22), (2, 1, 71), (2, 4, 14), (2, 0, 54), (3, 2, 22), (3, 1, 8), (4, 2, 14), (4, 0, 34), (4, 1, 95)]"
tsp_brute_force,0.0004954338073730469,"[0, 4, 3, 2, 1, 0]",231,5,16.0,20,"[(0, 1, 89), (0, 2, 79), (0, 3, 97), (0, 4, 44), (1, 0, 78), (1, 2, 35), (1, 3, 96), (1, 4, 19), (2, 0, 79), (2, 1, 35), (2, 3, 44), (2, 4, 17), (3, 0, 97), (3, 1, 96), (3, 2, 44), (3, 4, 30), (4, 0, 44), (4, 1, 19), (4, 2, 40), (4, 3, 30)]"
tsp_brute_force,0.0009922981262207031,,inf,6,8.333333333333334,10,"[(0, 1, 59), (1, 5, 74), (1, 0, 59), (2, 5, 3), (2, 3, 88), (3, 2, 88), (4, 5, 37), (5, 4, 37), (5, 2, 3), (5, 1, 74)]"
tsp_brute_force,0.00148773193359375,"[0, 2, 3, 1, 4, 5, 0]",268,6,16.666666666666668,20,"[(0, 3, 98), (0, 5, 35), (0, 2, 93), (1, 3, 60), (1, 4, 3), (1, 2, 99), (2, 5, 68), (2, 3, 16), (2, 0, 65), (2, 1, 99), (2, 4, 35), (3, 0, 98), (3, 1, 60), (3, 2, 16), (4, 1, 60), (4, 5, 89), (4, 2, 35), (5, 2, 68), (5, 0, 7), (5, 4, 89)]"
tsp_brute_force,0.0029761791229248047,"[0, 2, 4, 5, 3, 1, 0]",171,6,25.0,30,"[(0, 1, 5), (0, 2, 48), (0, 3, 77), (0, 4, 98), (0, 5, 36), (1, 0, 5), (1, 2, 74), (1, 3, 37), (1, 4, 53), (1, 5, 27), (2, 0, 48), (2, 1, 69), (2, 3, 93), (2, 4, 27), (2, 5, 94), (3, 0, 84), (3, 1, 37), (3, 2, 93), (3, 4, 47), (3, 5, 32), (4, 0, 98), (4, 1, 53), (4, 2, 27), (4, 3, 47), (4, 5, 22), (5, 0, 36), (5, 1, 27), (5, 2, 94), (5, 3, 32), (5, 4, 89)]"
tsp_brute_force,0.0004839897155761719,,inf,6,8.333333333333334,10,"[(0, 3, 21), (0, 4, 23), (1, 4, 85), (1, 5, 41), (2, 4, 14), (3, 0, 21), (4, 0, 23), (4, 2, 90), (4, 1, 80), (5, 1, 41)]"
tsp_brute_force,0.0014891624450683594,"[0, 2, 1, 5, 4, 3, 0]",354,6,16.666666666666668,20,"[(0, 2, 87), (0, 3, 83), (0, 4, 6), (0, 1, 76), (1, 2, 52), (1, 3, 19), (1, 5, 18), (1, 4, 85), (1, 0, 76), (2, 0, 87), (2, 1, 52), (3, 0, 83), (3, 1, 19), (3, 4, 48), (4, 0, 95), (4, 5, 8), (4, 1, 85), (4, 3, 48), (5, 4, 66), (5, 1, 87)]"
tsp_brute_force,0.0029754638671875,"[0, 2, 1, 3, 4, 5, 0]",219,6,25.0,30,"[(0, 1, 68), (0, 2, 60), (0, 3, 98), (0, 4, 15), (0, 5, 84), (1, 0, 68), (1, 2, 18), (1, 3, 25), (1, 4, 18), (1, 5, 91), (2, 0, 60), (2, 1, 18), (2, 3, 64), (2, 4, 82), (2, 5, 61), (3, 0, 98), (3, 1, 25), (3, 2, 49), (3, 4, 16), (3, 5, 99), (4, 0, 15), (4, 1, 18), (4, 2, 82), (4, 3, 16), (4, 5, 16), (5, 0, 84), (5, 1, 67), (5, 2, 94), (5, 3, 99), (5, 4, 16)]"
tsp_brute_force,0.0004961490631103516,,inf,6,8.333333333333334,10,"[(0, 2, 45), (0, 3, 68), (0, 4, 47), (1, 4, 34), (2, 0, 45), (3, 0, 77), (3, 5, 52), (4, 0, 47), (4, 1, 34), (5, 3, 52)]"
tsp_brute_force,0.0014879703521728516,"[0, 1, 5, 3, 4, 2, 0]",198,6,18.333333333333332,22,"[(0, 3, 32), (0, 4, 97), (0, 2, 46), (0, 1, 42), (1, 0, 42), (1, 5, 97), (1, 2, 87), (2, 4, 35), (2, 5, 90), (2, 0, 10), (2, 1, 87), (3, 0, 32), (3, 4, 4), (3, 5, 10), (4, 2, 35), (4, 5, 99), (4, 0, 97), (4, 3, 4), (5, 4, 99), (5, 2, 8), (5, 1, 97), (5, 3, 10)]"
tsp_brute_force,0.003471851348876953,"[0, 4, 5, 3, 2, 1, 0]",177,6,25.0,30,"[(0, 1, 55), (0, 2, 99), (0, 3, 91), (0, 4, 3), (0, 5, 79), (1, 0, 53), (1, 2, 47), (1, 3, 56), (1, 4, 59), (1, 5, 43), (2, 0, 99), (2, 1, 47), (2, 3, 32), (2, 4, 98), (2, 5, 46), (3, 0, 91), (3, 1, 56), (3, 2, 32), (3, 4, 18), (3, 5, 18), (4, 0, 3), (4, 1, 59), (4, 2, 98), (4, 3, 18), (4, 5, 24), (5, 0, 79), (5, 1, 43), (5, 2, 46), (5, 3, 18), (5, 4, 24)]"
